ReturnID,SaleItemID,ReturnDate,ReturnQuantity,ReturnReason
40,470.0,2024-08-12 09:17:00,1,Not as expected
41,475.0,2024-05-07 20:48:00,1,Changed mind
42,497.0,2024-03-25 19:03:00,1,Ordered by mistake
43,508.0,2025-07-02 20:17:00,1,Not as expected
44,526.0,2025-04-19 19:50:00,1,Damaged
45,527.0,2025-04-04 19:50:00,2,Ordered by mistake
46,537.0,2024-01-18 12:37:00,1,Not as expected
47,539.0,2024-01-19 12:37:00,1,Not as expected
48,540.0,2026-01-02 15:59:00,1,Not as expected
49,550.0,2024-02-17 19:17:00,1,Damaged
50,556.0,2024-09-11 20:04:00,2,Ordered by mistake
51,557.0,2024-10-09 20:04:00,1,Changed mind
52,577.0,2025-08-02 12:36:00,1,Changed mind
53,579.0,2024-12-04 13:31:00,1,Changed mind
54,626.0,2024-12-06 21:27:00,2,Changed mind
55,636.0,2025-06-01 10:18:00,1,Changed mind
56,643.0,2025-04-21 21:13:00,2,Changed mind
57,665.0,2024-08-11 16:07:00,1,Damaged
58,682.0,2026-01-04 11:32:00,1,Wrong size
59,697.0,2025-05-05 18:47:00,2,Ordered by mistake
60,715.0,2024-08-06 21:03:00,1,Ordered by mistake
61,720.0,2025-07-01 19:52:00,1,Damaged
62,778.0,2025-09-18 20:24:00,1,Changed mind
63,786.0,2024-10-02 17:38:00,1,Wrong size
64,790.0,2025-07-05 12:47:00,1,Ordered by mistake
65,802.0,2025-05-02 21:04:00,1,Changed mind
66,821.0,2025-04-10 10:29:00,1,Changed mind
67,825.0,2024-07-11 14:08:00,1,Not as expected
68,845.0,2024-10-21 10:36:00,1,Ordered by mistake
69,855.0,2025-10-15 12:29:00,1,Damaged
70,865.0,2024-12-29 09:48:00,1,Damaged
71,870.0,2025-03-27 16:03:00,1,Not as expected
72,881.0,2024-09-08 10:12:00,1,Damaged
73,890.0,2025-01-06 15:32:00,1,Damaged
74,894.0,2024-06-16 10:00:00,1,Damaged
75,920.0,2025-07-03 14:49:00,1,Changed mind
76,923.0,2024-06-13 10:15:00,1,Damaged
77,927.0,2024-07-17 12:37:00,1,Changed mind
78,930.0,2025-12-26 14:58:00,1,Not as expected
79,936.0,2024-12-19 20:11:00,2,Damaged
80,938.0,2024-06-21 21:07:00,1,Ordered by mistake
81,963.0,2026-01-18 19:40:00,2,Not as expected
82,982.0,2025-09-16 15:10:00,1,Changed mind
83,984.0,2024-10-06 19:18:00,1,Changed mind
84,994.0,2025-10-31 18:30:00,1,Wrong size
85,1034.0,2024-06-25 18:37:00,1,Changed mind
86,1043.0,2024-03-08 20:30:00,1,Changed mind
87,1052.0,2025-03-22 20:31:00,2,Changed mind
88,1090.0,2025-10-30 15:37:00,1,Damaged
89,1107.0,2024-07-26 14:46:00,1,Not as expected
90,1129.0,2025-09-12 18:04:00,1,Changed mind
91,1159.0,2024-03-04 13:18:00,1,Not as expected
92,1165.0,2024-07-16 21:25:00,1,Not as expected
93,1171.0,2026-01-04 19:50:00,1,Damaged
94,1186.0,2025-05-29 12:38:00,1,Wrong size
95,1192.0,2025-07-23 16:58:00,1,Changed mind
96,1196.0,2025-08-15 19:31:00,1,Damaged
97,1233.0,2024-06-21 10:26:00,1,Changed mind
98,1237.0,2025-12-15 20:57:00,1,Changed mind
99,1253.0,2025-10-06 09:00:00,1,Wrong size
100,1268.0,2025-08-02 12:41:00,1,Ordered by mistake
101,1269.0,2024-09-06 16:21:00,2,Damaged
102,1271.0,2025-09-17 16:45:00,3,Damaged
103,1273.0,2025-09-25 16:45:00,1,Changed mind
104,1275.0,2024-05-10 10:48:00,2,Wrong size
105,1292.0,2024-05-01 21:26:00,1,Damaged
106,1296.0,2025-06-02 11:31:00,3,Wrong size
107,1303.0,2025-04-18 21:08:00,1,Not as expected
108,1329.0,2026-01-01 13:44:00,1,Damaged
109,1345.0,2024-09-28 11:10:00,2,Not as expected
110,1349.0,2024-01-20 14:29:00,1,Wrong size
111,1357.0,2026-01-14 14:33:00,1,Ordered by mistake
112,1366.0,2025-07-04 16:35:00,2,Damaged
113,1369.0,2025-04-14 12:57:00,1,Ordered by mistake
114,1380.0,2025-10-18 10:13:00,1,Damaged
115,1391.0,2024-12-24 09:05:00,1,Ordered by mistake
116,1394.0,2025-08-09 10:36:00,1,Damaged
117,1402.0,2025-05-15 11:34:00,1,Damaged
118,1417.0,2024-05-27 11:11:00,1,Damaged
119,1419.0,2024-07-21 10:11:00,1,Ordered by mistake
120,1421.0,2024-07-23 10:11:00,1,Changed mind
121,1422.0,2025-07-28 16:41:00,1,Ordered by mistake
122,1484.0,2024-02-09 12:02:00,1,Changed mind
123,1497.0,2024-07-07 18:42:00,1,Changed mind
124,1504.0,2024-05-11 09:12:00,1,Wrong size
125,1514.0,2025-07-29 09:57:00,1,Damaged
126,1529.0,2025-10-10 13:43:00,2,Wrong size
127,1533.0,2025-08-20 17:30:00,1,Wrong size
128,1541.0,2024-09-20 16:50:00,1,Changed mind
129,1574.0,2025-06-23 09:47:00,2,Wrong size
130,1594.0,2025-05-14 19:29:00,1,Ordered by mistake
131,1599.0,2024-09-03 21:20:00,2,Wrong size
132,1608.0,2024-09-02 20:15:00,2,Ordered by mistake
133,1624.0,2024-02-08 19:13:00,1,Damaged
134,1628.0,2025-01-16 18:55:00,1,Damaged
135,1642.0,2025-05-27 13:16:00,3,Wrong size
136,1658.0,2024-10-31 14:20:00,1,Damaged
137,1670.0,2024-09-11 14:20:00,1,Changed mind
138,1677.0,2025-02-05 20:37:00,1,Ordered by mistake
139,1689.0,2024-06-13 10:41:00,1,Wrong size
140,1719.0,2025-03-05 17:27:00,1,Damaged
141,1727.0,2024-10-08 15:12:00,1,Wrong size
142,1744.0,2024-12-13 10:53:00,1,Wrong size
143,1775.0,2024-04-23 11:31:00,1,Not as expected
144,1779.0,2024-10-09 09:31:00,1,Changed mind
145,1787.0,2024-06-16 16:18:00,1,Not as expected
146,1800.0,2025-08-02 15:12:00,1,Wrong size
147,1809.0,2025-09-26 20:04:00,1,Ordered by mistake
148,1814.0,2025-02-01 17:47:00,1,Ordered by mistake
149,1831.0,2024-12-30 14:35:00,2,Wrong size
150,1856.0,2025-05-20 11:31:00,1,Wrong size
151,1885.0,2024-08-04 14:22:00,1,Damaged
152,1891.0,2024-05-02 20:03:00,1,Wrong size
153,1918.0,2025-04-22 17:59:00,1,Wrong size
154,1922.0,2024-12-01 14:31:00,1,Changed mind
155,1936.0,2025-03-30 13:58:00,1,Damaged
156,1944.0,2025-03-23 21:09:00,1,Wrong size
157,1953.0,2024-04-25 11:11:00,1,Wrong size
158,1956.0,2025-09-28 18:17:00,1,Ordered by mistake
159,1957.0,2024-09-14 12:43:00,1,Ordered by mistake
160,1969.0,2024-03-13 11:59:00,1,Wrong size
161,1985.0,2024-02-26 17:24:00,1,Damaged
162,1994.0,2024-04-29 20:32:00,1,Damaged
163,2009.0,2025-02-14 17:24:00,2,Not as expected
164,2039.0,2025-09-30 19:44:00,1,Damaged
165,2040.0,2024-07-20 16:47:00,1,Not as expected
166,2051.0,2025-09-22 09:06:00,3,Changed mind
167,2053.0,2025-10-07 17:05:00,1,Damaged
168,2055.0,2025-10-20 17:05:00,1,Wrong size
169,2072.0,2024-08-19 21:39:00,2,Wrong size
170,2104.0,2025-01-24 16:53:00,1,Not as expected
171,2117.0,2025-04-23 15:45:00,1,Not as expected
172,2122.0,2024-02-02 18:48:00,2,Ordered by mistake
173,2146.0,2025-10-17 20:44:00,2,Changed mind
174,2163.0,2025-06-14 10:25:00,1,Changed mind
175,2169.0,2024-11-13 17:29:00,1,Damaged
176,2192.0,2024-04-21 12:52:00,2,Not as expected
177,2193.0,2025-11-08 21:00:00,1,Changed mind
178,2194.0,2025-05-01 17:18:00,1,Not as expected
179,2197.0,2025-04-12 17:18:00,1,Wrong size
180,2203.0,2024-03-13 14:57:00,2,Ordered by mistake
181,2208.0,2025-08-04 12:42:00,1,Wrong size
182,2261.0,2024-02-18 14:05:00,1,Not as expected
183,2322.0,2024-03-03 19:24:00,1,Damaged
184,2333.0,2024-03-31 17:14:00,1,Changed mind
185,2354.0,2025-04-21 09:02:00,1,Wrong size
186,2362.0,2024-02-13 20:09:00,1,Not as expected
187,2365.0,2025-05-11 18:02:00,1,Not as expected
188,2382.0,2025-07-21 11:28:00,1,Not as expected
189,2383.0,2025-11-03 18:24:00,1,Not as expected
190,2384.0,2025-10-17 18:24:00,1,Ordered by mistake
191,2398.0,2025-10-17 10:40:00,1,Changed mind
192,2427.0,2025-10-10 11:50:00,1,Wrong size
193,2431.0,2024-09-06 10:26:00,1,Not as expected
194,2434.0,2025-09-02 16:53:00,1,Changed mind
195,2442.0,2024-02-26 16:46:00,2,Damaged
196,2458.0,2024-04-08 15:57:00,1,Wrong size
197,2482.0,2026-01-05 21:56:00,1,Not as expected
198,2486.0,2024-07-20 13:04:00,2,Wrong size
199,2508.0,2025-10-10 11:45:00,1,Not as expected
200,2519.0,2025-06-24 14:41:00,2,Changed mind
201,2532.0,2025-09-21 19:12:00,1,Not as expected
202,2565.0,2025-04-30 12:01:00,1,Not as expected
203,2586.0,2025-07-13 19:59:00,2,Wrong size
204,2603.0,2025-06-17 12:53:00,1,Changed mind
205,2613.0,2024-02-11 16:22:00,1,Damaged
206,2634.0,2024-02-21 10:09:00,1,Damaged
207,2637.0,2025-08-17 14:22:00,2,Ordered by mistake
208,2641.0,2025-10-04 12:32:00,1,Wrong size
209,2656.0,2025-07-13 11:31:00,1,Ordered by mistake
210,2680.0,2025-05-05 10:07:00,2,Wrong size
211,2704.0,2025-08-14 16:30:00,1,Damaged
212,2706.0,2025-06-30 09:25:00,1,Changed mind
213,2721.0,2024-05-05 14:10:00,2,Damaged
214,2722.0,2025-05-04 19:55:00,1,Wrong size
215,2727.0,2024-10-10 09:44:00,1,Wrong size
216,2739.0,2024-10-23 09:19:00,1,Ordered by mistake
217,2750.0,2025-08-09 11:56:00,1,Damaged
218,2764.0,2025-03-15 14:55:00,2,Not as expected
219,2769.0,2024-09-04 15:15:00,1,Changed mind
220,2785.0,2024-09-10 10:36:00,1,Damaged
221,2797.0,2024-08-30 15:13:00,1,Ordered by mistake
222,2821.0,2025-03-01 09:58:00,1,Damaged
223,2834.0,2025-12-29 13:32:00,1,Damaged
224,2853.0,2024-08-12 10:26:00,1,Ordered by mistake
225,2864.0,2025-03-26 18:16:00,1,Ordered by mistake
226,2893.0,2025-10-03 15:19:00,1,Damaged
227,2900.0,2026-01-06 17:27:00,2,Damaged
228,2906.0,2024-07-12 14:47:00,1,Changed mind
229,2911.0,2024-06-16 17:54:00,1,Ordered by mistake
230,2928.0,2025-03-11 10:15:00,1,Ordered by mistake
231,2933.0,2025-09-16 10:53:00,1,Not as expected
232,2960.0,2025-04-27 15:30:00,1,Wrong size
233,2969.0,2025-11-30 12:41:00,2,Ordered by mistake
234,2985.0,2025-01-01 13:37:00,2,Not as expected
235,2996.0,2024-08-21 11:05:00,1,Ordered by mistake
236,3000.0,2024-01-20 11:41:00,1,Changed mind
237,3002.0,2024-02-08 11:41:00,1,Damaged
238,3012.0,2024-04-19 11:08:00,1,Changed mind
239,3045.0,2026-01-03 15:26:00,1,Damaged
240,3056.0,2024-06-29 17:02:00,1,Wrong size
241,3100.0,2024-04-05 14:20:00,1,Not as expected
242,3104.0,2024-03-05 19:45:00,3,Ordered by mistake
243,3132.0,2025-06-28 10:46:00,1,Damaged
244,3172.0,2024-11-25 14:19:00,1,Not as expected
245,3174.0,2024-06-17 21:37:00,1,Damaged
246,3185.0,2025-01-10 21:24:00,1,Wrong size
247,3191.0,2025-12-13 16:09:00,1,Damaged
248,3205.0,2025-08-07 17:12:00,1,Not as expected
249,3210.0,2024-10-30 21:13:00,1,Not as expected
250,3242.0,2025-01-30 17:10:00,1,Not as expected
251,3243.0,2025-07-31 16:02:00,1,Wrong size
252,3312.0,2024-04-04 12:12:00,1,Wrong size
253,3322.0,2024-05-11 10:03:00,1,Damaged
254,3346.0,2025-10-24 16:11:00,1,Changed mind
255,3360.0,2025-08-08 14:39:00,1,Not as expected
256,3364.0,2025-11-02 12:44:00,2,Ordered by mistake
257,3379.0,2025-01-07 09:01:00,1,Changed mind
258,3388.0,2024-05-02 09:53:00,2,Ordered by mistake
259,3395.0,2024-04-06 10:09:00,2,Ordered by mistake
260,3438.0,2025-01-23 10:18:00,1,Changed mind
261,3439.0,2024-10-22 12:06:00,1,Not as expected
262,3442.0,2025-08-06 12:21:00,1,Ordered by mistake
263,3448.0,2025-07-25 13:00:00,2,Changed mind
264,3453.0,2024-06-09 15:14:00,1,Wrong size
265,3469.0,2025-06-21 21:42:00,2,Damaged
266,3476.0,2025-10-20 13:05:00,1,Wrong size
267,3503.0,2025-05-11 16:36:00,1,Damaged
268,3504.0,2025-04-19 16:36:00,1,Wrong size
269,3521.0,2024-10-10 19:34:00,2,Changed mind
270,3530.0,2024-07-13 13:13:00,1,Wrong size
271,3568.0,2024-07-09 20:10:00,1,Damaged
272,3594.0,2024-09-10 20:38:00,1,Ordered by mistake
273,3597.0,2024-12-03 11:17:00,1,Damaged
274,3620.0,2024-10-11 21:30:00,1,Not as expected
275,3623.0,2025-01-26 15:24:00,2,Wrong size
276,3626.0,2025-06-01 09:48:00,2,Wrong size
277,3629.0,2024-09-25 15:29:00,1,Not as expected
278,3631.0,2025-08-18 18:30:00,1,Wrong size
279,3637.0,2025-02-06 15:31:00,1,Changed mind
280,3640.0,2024-12-28 17:45:00,1,Wrong size
281,3642.0,2024-12-27 17:45:00,1,Wrong size
282,3646.0,2024-09-10 16:02:00,1,Damaged
283,3655.0,2025-11-07 20:58:00,1,Damaged
284,3658.0,2024-04-04 17:58:00,1,Ordered by mistake
285,3710.0,2025-02-14 18:03:00,1,Ordered by mistake
286,3716.0,2024-05-01 09:29:00,1,Changed mind
287,3719.0,2024-06-21 09:38:00,1,Damaged
288,3755.0,2024-06-15 14:57:00,1,Changed mind
289,3776.0,2024-12-20 20:37:00,2,Not as expected
290,3797.0,2024-03-05 21:11:00,1,Changed mind
291,3818.0,2025-09-10 11:28:00,1,Damaged
292,3822.0,2024-01-24 14:46:00,1,Changed mind
293,3848.0,2024-08-21 09:37:00,1,Changed mind
294,3858.0,2024-03-29 17:53:00,1,Wrong size
295,3863.0,2024-08-30 19:57:00,1,Wrong size
296,3869.0,2024-02-23 10:07:00,1,Ordered by mistake
297,3933.0,2024-03-13 20:40:00,1,Changed mind
298,3939.0,2025-07-16 20:56:00,1,Ordered by mistake
299,3959.0,2025-07-07 12:11:00,1,Not as expected
300,3982.0,2025-02-27 14:00:00,2,Damaged
301,4002.0,2024-04-28 12:18:00,1,Ordered by mistake
302,4048.0,2026-01-03 15:15:00,1,Ordered by mistake
303,4061.0,2025-12-06 17:49:00,1,Ordered by mistake
304,4069.0,2024-06-10 19:47:00,1,Not as expected
305,4074.0,2024-11-07 20:30:00,1,Ordered by mistake
306,4088.0,2024-06-27 18:17:00,1,Ordered by mistake
307,4109.0,2024-10-19 11:17:00,2,Not as expected
308,4114.0,2025-01-24 14:05:00,1,Ordered by mistake
309,4117.0,2025-03-09 18:18:00,1,Damaged
310,4132.0,2024-07-06 16:14:00,1,Changed mind
311,4140.0,2025-03-27 12:29:00,1,Wrong size
312,4144.0,2025-09-18 10:24:00,1,Not as expected
313,4152.0,2024-02-03 21:06:00,1,Changed mind
314,4153.0,2024-02-04 21:06:00,1,Changed mind
315,4156.0,2024-12-23 20:05:00,1,Damaged
316,4171.0,2024-05-28 14:59:00,1,Damaged
317,4176.0,2024-07-25 19:27:00,1,Damaged
318,4178.0,2025-10-25 13:22:00,1,Not as expected
319,4179.0,2025-10-28 13:22:00,1,Changed mind
320,4204.0,2024-08-19 09:23:00,1,Damaged
321,4234.0,2025-03-25 19:56:00,1,Changed mind
322,4235.0,2025-03-18 19:56:00,1,Wrong size
323,4246.0,2024-06-22 09:51:00,1,Damaged
324,4250.0,2024-02-02 12:18:00,1,Ordered by mistake
325,4254.0,2025-11-05 09:15:00,1,Ordered by mistake
326,4258.0,2024-04-20 13:00:00,1,Damaged
327,4264.0,2025-03-13 17:12:00,1,Not as expected
328,4281.0,2024-12-31 16:50:00,1,Wrong size
329,4290.0,2024-06-23 21:55:00,1,Wrong size
330,4302.0,2025-12-09 11:28:00,1,Not as expected
331,4335.0,2024-12-29 21:19:00,1,Not as expected
332,4346.0,2024-06-21 16:55:00,1,Wrong size
333,4408.0,2024-06-22 14:13:00,1,Changed mind
334,4409.0,2024-06-30 14:13:00,1,Not as expected
335,4438.0,2025-06-02 18:38:00,1,Damaged
336,4471.0,2025-01-08 12:04:00,1,Not as expected
337,4473.0,2025-01-18 11:49:00,2,Changed mind
338,4493.0,2025-09-09 09:18:00,1,Not as expected
339,4498.0,2024-01-31 16:18:00,1,Changed mind
340,4500.0,2025-03-10 09:57:00,1,Not as expected
341,4501.0,2024-03-07 14:41:00,1,Ordered by mistake
342,4504.0,2025-06-08 19:58:00,1,Damaged
343,4511.0,2024-05-28 10:20:00,1,Changed mind
344,4516.0,2025-12-25 09:16:00,1,Not as expected
345,4527.0,2025-07-05 17:15:00,1,Ordered by mistake
346,4529.0,2024-11-12 14:49:00,1,Changed mind
347,4552.0,2025-03-12 11:43:00,1,Ordered by mistake
348,4565.0,2025-08-01 10:22:00,1,Damaged
349,4600.0,2025-05-11 18:00:00,1,Wrong size
350,4610.0,2024-04-11 10:19:00,1,Changed mind
351,4617.0,2025-09-07 16:07:00,1,Wrong size
352,4624.0,2025-11-21 11:22:00,1,Not as expected
353,4625.0,2025-12-01 11:22:00,1,Ordered by mistake
354,4648.0,2024-03-15 21:18:00,1,Damaged
355,4692.0,2024-04-25 09:17:00,1,Changed mind
356,4716.0,2025-05-18 16:18:00,2,Damaged
357,4733.0,2025-01-03 20:33:00,1,Damaged
358,4746.0,2024-03-21 09:01:00,1,Changed mind
359,4767.0,2025-11-18 10:13:00,1,Wrong size
360,4826.0,2025-11-11 10:04:00,1,Ordered by mistake
361,4833.0,2025-06-25 13:20:00,1,Damaged
362,4837.0,2024-12-23 15:45:00,1,Damaged
363,4847.0,2024-06-13 09:15:00,2,Damaged
364,4850.0,2024-05-03 09:31:00,1,Not as expected
365,4855.0,2025-02-09 13:52:00,1,Damaged
366,4859.0,2025-02-18 16:01:00,1,Damaged
367,4866.0,2024-10-11 21:48:00,1,Wrong size
368,4901.0,2025-04-13 11:16:00,1,Wrong size
369,4902.0,2025-04-08 11:16:00,1,Ordered by mistake
370,4915.0,2025-02-03 19:26:00,2,Changed mind
371,4917.0,2025-02-05 19:26:00,1,Changed mind
372,4944.0,2024-09-08 16:20:00,1,Changed mind
373,4948.0,2024-04-17 14:41:00,2,Changed mind
374,4956.0,2025-12-07 11:38:00,2,Not as expected
375,4969.0,2024-01-27 20:10:00,1,Wrong size
376,4971.0,2025-02-10 15:22:00,1,Ordered by mistake
377,4974.0,2025-09-01 18:39:00,1,Changed mind
378,4983.0,2025-06-28 10:09:00,2,Ordered by mistake
379,4994.0,2025-03-21 13:20:00,1,Not as expected
380,5000.0,2024-06-26 10:18:00,1,Changed mind
381,5002.0,2024-06-28 10:18:00,2,Wrong size
382,5004.0,2024-06-30 13:58:00,1,Changed mind
383,5014.0,2025-05-27 13:05:00,1,Changed mind
384,5048.0,2024-11-11 12:56:00,1,Wrong size
385,5069.0,2024-11-30 16:26:00,1,Wrong size
386,5070.0,2024-11-12 16:26:00,1,Damaged
387,5074.0,2025-07-22 10:41:00,2,Wrong size
388,5112.0,2025-07-17 20:06:00,1,Ordered by mistake
389,5116.0,2025-01-01 11:51:00,1,Wrong size
390,5132.0,2024-06-30 17:47:00,1,Ordered by mistake
391,5151.0,2024-07-02 11:18:00,1,Damaged
392,5152.0,2024-06-19 11:18:00,1,Ordered by mistake
393,5171.0,2025-08-01 17:41:00,1,Damaged
394,5172.0,2025-08-25 17:41:00,1,Damaged
395,5179.0,2024-09-19 12:05:00,1,Damaged
396,5187.0,2024-12-09 17:05:00,1,Not as expected
397,5196.0,2024-12-25 20:27:00,1,Damaged
398,5241.0,2024-02-22 13:38:00,3,Wrong size
399,5249.0,2025-05-11 10:07:00,1,Damaged
400,5259.0,2024-11-12 19:41:00,1,Wrong size
401,5262.0,2024-07-26 13:08:00,1,Changed mind
402,5291.0,2024-12-13 14:41:00,2,Damaged
403,5294.0,2024-11-16 11:29:00,1,Ordered by mistake
404,5308.0,2024-06-10 11:42:00,1,Damaged
405,5336.0,2025-10-28 12:08:00,2,Ordered by mistake
406,5338.0,2024-11-07 15:05:00,1,Wrong size
407,5375.0,2024-09-22 11:05:00,1,Wrong size
408,5380.0,2024-04-03 14:23:00,2,Not as expected
409,5413.0,2025-02-05 13:18:00,2,Not as expected
410,5429.0,2024-04-27 15:13:00,1,Ordered by mistake
411,5468.0,2025-04-30 12:43:00,1,Changed mind
412,5469.0,2025-05-06 12:43:00,1,Not as expected
413,5496.0,2025-05-02 20:31:00,1,Not as expected
414,5506.0,2025-08-19 14:45:00,1,Changed mind
415,5511.0,2024-11-15 16:45:00,1,Wrong size
416,5530.0,2024-08-15 12:09:00,1,Not as expected
417,5531.0,2025-01-16 16:29:00,1,Not as expected
418,5536.0,2025-07-22 17:54:00,1,Ordered by mistake
419,5557.0,2024-05-10 16:05:00,2,Changed mind
420,5569.0,2025-10-12 11:21:00,1,Wrong size
421,5585.0,2024-04-29 16:21:00,1,Wrong size
422,5603.0,2024-09-30 13:53:00,1,Ordered by mistake
423,5660.0,2025-03-13 18:18:00,1,Wrong size
424,5675.0,2024-12-04 14:59:00,1,Damaged
425,5719.0,2024-10-19 18:20:00,1,Changed mind
426,5722.0,2024-12-09 09:56:00,1,Not as expected
427,5744.0,2024-06-07 14:42:00,1,Wrong size
428,5750.0,2024-05-13 12:14:00,1,Wrong size
429,5770.0,2025-05-23 14:12:00,2,Not as expected
430,5776.0,2025-04-14 18:16:00,2,Wrong size
431,5792.0,2024-12-09 16:27:00,1,Ordered by mistake
432,5815.0,2024-11-19 09:04:00,1,Ordered by mistake
433,5828.0,2024-05-28 15:07:00,1,Changed mind
434,5847.0,2024-04-05 20:38:00,1,Changed mind
435,5848.0,2024-04-21 20:38:00,1,Wrong size
436,5853.0,2025-12-25 15:26:00,2,Ordered by mistake
437,5868.0,2025-08-27 10:07:00,1,Ordered by mistake
438,5884.0,2024-05-11 13:58:00,2,Changed mind
439,5886.0,2024-11-02 16:50:00,1,Changed mind
440,5901.0,2024-06-14 11:20:00,2,Wrong size
441,5920.0,2024-08-14 12:56:00,1,Damaged
442,5937.0,2024-12-05 20:15:00,1,Not as expected
443,5949.0,2025-04-26 18:28:00,1,Wrong size
444,5955.0,2025-01-07 16:55:00,1,Damaged
445,5966.0,2024-06-22 21:34:00,1,Wrong size
446,5993.0,2025-01-14 19:40:00,1,Damaged
447,6009.0,2025-09-02 11:57:00,1,Ordered by mistake
448,6027.0,2024-06-08 12:52:00,1,Changed mind
449,6044.0,2024-11-06 19:27:00,1,Ordered by mistake
450,6067.0,2024-09-05 20:20:00,1,Not as expected
451,6076.0,2024-02-19 11:09:00,1,Ordered by mistake
452,6135.0,2024-02-19 18:34:00,1,Damaged
453,6138.0,2025-08-29 19:24:00,1,Wrong size
454,6149.0,2025-11-01 20:11:00,1,Damaged
455,6151.0,2024-06-21 14:47:00,1,Ordered by mistake
456,6158.0,2025-08-05 12:25:00,1,Damaged
457,6165.0,2025-09-26 14:57:00,1,Ordered by mistake
458,6190.0,2024-02-29 19:06:00,1,Damaged
